benchmark,benchmark_folder,case_name,parameter,parameter_value,setting_label,mean_fitness,std_fitness,min_fitness,max_fitness,median_fitness,n_values,parameter_order,benchmark_order,parameter_value_order,baseline_mean,relative_change_percent
CEC22-10D,CEC22_selected-10D,lambda_S_010,lambda_S,0.1,$\lambda_S$=0.10,1666.209409253634,943.6970888139987,600.0000002579571,2893.4240554892663,1600.263763741205,20,3,0,0.1,1688.4963391327979,-1.3199276399148288
CEC22-20D,CEC22_selected-20D,lambda_S_010,lambda_S,0.1,$\lambda_S$=0.10,1787.7781825434445,1057.1626628738397,600.0000055644507,3130.0611745190527,1601.1864853394595,20,3,1,0.1,1804.7717419970286,-0.941590510209356
Classic-2D,classic_selected-2D,lambda_S_010,lambda_S,0.1,$\lambda_S$=0.10,-51.740857367419565,85.61750252140048,-200.0,2.057722551100043e-07,-3.4817147850312686,20,3,2,0.1,-51.74083811086516,3.721732214955962e-05
CEC22-10D,CEC22_selected-10D,lambda_S_020,lambda_S,0.2,$\lambda_S$=0.20,1719.473957758563,986.870055437882,600.0000002482644,2908.7122143338647,1600.297913878356,20,3,0,0.2,1688.4963391327979,1.8346275267422334
CEC22-20D,CEC22_selected-20D,lambda_S_020,lambda_S,0.2,$\lambda_S$=0.20,1820.8995936139513,1085.5937891195606,600.0000065876958,3152.4826049958874,1785.351819659771,20,3,1,0.2,1804.7717419970286,0.8936227912720317
Classic-2D,classic_selected-2D,lambda_S_020,lambda_S,0.2,$\lambda_S$=0.20,-51.740833910618015,85.61746186569854,-200.0,7.930324632224337e-08,-3.4817147850312686,20,3,2,0.2,-51.74083811086516,-8.11785680476146e-06
CEC22-10D,CEC22_selected-10D,lambda_S_040,lambda_S,0.4,$\lambda_S$=0.40,1703.13838695399,975.3106003534731,600.0000002723212,2929.733202740644,1600.1252866137213,20,3,0,0.4,1688.4963391327979,0.8671649136480923
CEC22-20D,CEC22_selected-20D,lambda_S_040,lambda_S,0.4,$\lambda_S$=0.40,1810.9305384517531,1075.5620926053373,600.0000062372817,3178.6512784223023,1777.2234908848377,20,3,1,0.4,1804.7717419970286,0.3412507139495477
Classic-2D,classic_selected-2D,lambda_S_040,lambda_S,0.4,$\lambda_S$=0.40,-51.648569580069264,85.66862246238412,-199.99999999974605,7.560310104669924e-08,-2.558912589712378,20,3,2,0.4,-51.74083811086516,-0.1783282493379726
CEC22-10D,CEC22_selected-10D,p_elite_010,p_elite,0.1,$p_{elite}$=0.10,1726.8793760631997,994.4404697491825,600.0000003482351,2915.0637423432368,1600.2803774099257,20,4,0,0.1,1688.4963391327979,2.2732081817906207
CEC22-20D,CEC22_selected-20D,p_elite_010,p_elite,0.1,$p_{elite}$=0.10,1799.5430321859542,1062.3033682845903,600.0000060495647,3103.0413636615062,1780.9136550818532,20,4,1,0.1,1804.7717419970286,-0.28971585100776703
Classic-2D,classic_selected-2D,p_elite_010,p_elite,0.1,$p_{elite}$=0.10,-51.740857390352744,85.61750251337534,-200.0,4.3257812526500303e-08,-3.4817147850312686,20,4,2,0.1,-51.74083811086516,3.726164531816061e-05
CEC22-10D,CEC22_selected-10D,p_elite_020,p_elite,0.2,$p_{elite}$=0.20,1712.011611828247,979.4707750756202,600.0000002368608,2939.763352781974,1600.078484817949,20,4,0,0.2,1688.4963391327979,1.392675373375484
CEC22-20D,CEC22_selected-20D,p_elite_020,p_elite,0.2,$p_{elite}$=0.20,1805.4142478499084,1068.2059878761274,600.0000072987353,3092.639081645828,1778.3481705576542,20,4,1,0.2,1804.7717419970286,0.03560039410683987
Classic-2D,classic_selected-2D,p_elite_020,p_elite,0.2,$p_{elite}$=0.20,-51.740854130206024,85.61749686865191,-199.99999999995103,2.5276953893434144e-08,-3.4817147850312686,20,4,2,0.2,-51.74083811086516,3.0960729371048545e-05
CEC22-10D,CEC22_selected-10D,p_elite_030,p_elite,0.3,$p_{elite}$=0.30,1752.3903413721669,1015.4734385274899,600.0000002666344,2931.0458960407973,1600.0975450862588,20,4,0,0.3,1688.4963391327979,3.784077036979812
CEC22-20D,CEC22_selected-20D,p_elite_030,p_elite,0.3,$p_{elite}$=0.30,1789.0138470142927,1058.24617915836,600.0000070751673,3150.9330142846025,1602.8757539314938,20,4,1,0.3,1804.7717419970286,-0.8731239865989585
Classic-2D,classic_selected-2D,p_elite_030,p_elite,0.3,$p_{elite}$=0.30,-51.74077102071377,85.61735299987946,-199.9999999765144,3.6892725351596323e-07,-3.4817147847927554,20,4,2,0.3,-51.74083811086516,-0.00012966576081778022
