trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
600.3903950567282,600.504704131292,600.8667050637588,600.658503388288,600.9485042642372,600.5056215563515,600.6390618159694,600.703340212282,600.8466076422906,600.7997031139856,600.7111591434971,600.6053865532878,600.573489793631,600.4059594542969,600.5610391872315,600.814311460657,600.4083108947012,600.6130126226788,600.7101882153555,600.2054000885975,600.3323631044648,600.4296001934543,600.6679610384052,600.7716461639964,600.4495734731885
600.2850909474757,600.432153236397,600.6511866616211,600.6524518523921,600.6601218464308,600.3868001165742,600.4185407747867,600.5150286772185,600.7801668828683,600.5374518920503,600.5581875729955,600.4687486899835,600.4174295265585,600.2759299328086,600.3947776576091,600.5125978748902,600.4083108947012,600.409660162678,600.5391283669277,600.1992158045408,600.2664194105488,600.3151435719144,600.3623621266019,600.4884362816936,600.2948941345236
600.2635871038487,600.3389474397167,600.5394897828785,600.5670561464051,600.5899798743644,600.333427841698,600.3233343692847,600.4084129541744,600.6837712366436,600.3977886167868,600.4665224936534,600.2863222124818,600.362491827167,600.1967215188348,600.3162083854795,600.3978868182502,600.3419003341015,600.3176607772065,600.4823795094457,600.1874367157599,600.1354730190766,600.2950319878794,600.3550181485587,600.4220016878766,600.2332351003089
600.2083494636244,600.2623705958524,600.4919684858363,600.5373641554235,600.536135388038,600.2882832641643,600.2510610116221,600.3861831727412,600.6267901587078,600.3662942247416,600.4096332387965,600.2534620051847,600.2809088313147,600.1560074065212,600.2873885223784,600.379726491507,600.29970861473,600.2706460179758,600.4382138612284,600.1490707009898,600.111005410284,600.2407436428485,600.2988128504817,600.3571272984653,600.2216528286049
600.1733840394929,600.2491841362377,600.4191602610465,600.4744902322328,600.4968433492292,600.2244435875915,600.20666212751,600.3188344826067,600.5605887817871,600.3165030997396,600.352248565156,600.2147372233705,600.2647503274402,600.1362602707123,600.2688240740172,600.3050237200632,600.273218047568,600.2199402177494,600.3620528514699,600.1397921156295,600.1027167952615,600.1822001952778,600.2336288737222,600.2768448263023,600.1966805150911
600.160272023982,600.2409116005207,600.3978024402294,600.4506471342559,600.4505129741561,600.2023807649746,600.1857015567954,600.298283175685,600.5170765181296,600.2976015974232,600.3199821023096,600.1512335046149,600.2112504099006,600.1200072566553,600.2611931744493,600.2832735780503,600.2311915689195,600.2068682155233,600.3378522153565,600.1359384541918,600.0983764594721,600.1638835388857,600.2009231613291,600.2659950078897,600.1759344376019
600.1495281270136,600.1998242265382,600.3346388800804,600.4325309620335,600.4087006977272,600.1980944845502,600.1494871724634,600.2773340732545,600.4573516691656,600.2708016517192,600.3124971025247,600.1289862026002,600.1782184433791,600.1183572193248,600.2535003939515,600.2611909651338,600.1990320422551,600.1792521531291,600.3222928299133,600.1359384541918,600.0922358929251,600.136569238013,600.1558985402188,600.2229420248956,600.1653122584111
600.0923377817071,600.1830151691076,600.3079600125353,600.3403569391735,600.4051180032247,600.1682723858901,600.1281580146021,600.2530646431204,600.4143464843401,600.1814631195605,600.2995197526058,600.1089219959425,600.1733344111647,600.1104069418715,600.2321607361547,600.2577789665228,600.1852766764473,600.0944872102492,600.298350199616,600.1359384541918,600.0922358929251,600.1290896204575,600.1415557500477,600.2162936479319,600.1653122584111
600.0923377817071,600.164414191211,600.2893221044391,600.2897868486833,600.3762498978328,600.1459498708081,600.0977755777442,600.22491642978,600.3951533728509,600.1505067004599,600.250043133826,600.1089219959425,600.1594407956493,600.1101965500881,600.2152899846699,600.2395349644792,600.1695419403877,600.0921244485223,600.2894920952332,600.1359384541918,600.0828733703142,600.0953866514031,600.124994798432,600.2098663911994,600.1653122584111
600.0742391258214,600.1571447325763,600.2757774277877,600.2479957562387,600.3475183867417,600.1366578962125,600.0977755777442,600.2052320644269,600.3834361588611,600.1034585829151,600.2189026336424,600.1069438410622,600.142589611653,600.1077108830497,600.2152899846699,600.2364988057894,600.1695419403877,600.0831169003044,600.257388805806,600.1359384541918,600.0828733703142,600.0915378855752,600.1195164234131,600.2011712235985,600.152408522284
