Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
7332.873957432455,1.6832098780511568,263.89616516614,0.2352424812126824,30.150003289050346,6.843909031481794
6686.149645660995,1.6945811825324637,263.89968548332206,0.23524261361707516,30.150158596507996,6.888542680785082
7332.873609108525,1.6727295569148204,263.89850793250235,0.2352424676772424,30.149967514412438,6.863626680254526
6821.105583928347,1.6753354379128456,263.8959678628504,0.24062473150985755,30.15019119715086,6.8884586867511155
6424.094032948287,1.7055971578131228,263.8960472635369,0.23524252101995818,30.149947903267687,6.843401642150342
6370.856584529365,1.7419342509022622,263.89590553278595,0.23524267158160062,30.150130598421306,6.846571548365243
6410.298972424932,1.724826466879517,263.8960035345511,0.2363699486701688,30.14999388826456,6.850513945014568
7332.877541285523,1.7477553327613062,263.8961116867983,0.23524247837151482,30.149970746921987,6.863157855377459
6370.844972831513,1.6783521105006671,263.8959827913734,0.23994804624084426,30.149883462450497,7.002621815073002
6412.423025775705,1.6749576666602937,263.89692987714295,0.23524246735374865,30.15000481757857,6.856304227956988
6090.613241191339,1.6725102209941933,263.89631209858334,0.23524252056643608,30.149874513975593,6.863201586025099
6091.4003922521715,1.6974889391010448,263.896982876966,0.2447079329607395,30.15001959473276,6.8443258019307
7273.5559195383985,1.700593787677507,263.8972047982228,0.23524252408520363,30.15014109926232,6.867932965984809
6096.093179410243,1.6708603806317366,263.89796403115827,0.23524263428662381,30.14977618535287,6.84359965649552
6774.108408699679,1.7878058666785366,263.8966328419342,0.235242565302705,30.14975883999589,6.8489562354386635
6059.778668184136,1.6803450030192852,263.90112698822054,0.23524248101865378,30.15015614531358,6.851160286744782
6090.661150665484,1.683121888796495,263.8964357506624,0.23524247034492748,30.149899082716853,6.844527696178919
6381.202615405159,1.672389520398083,263.8965821131425,0.23524245824708614,30.150260244708644,6.866322514928773
6090.536065482044,1.6990756790190573,263.8964018565867,0.24085907132325593,30.149808068620292,6.967283627726582
7273.58651023028,1.7887048918360542,263.89604530003186,0.23524245808304245,30.15011331421276,6.853224508501749
6410.165613801808,1.675290189561312,263.8966973397137,0.23859359126923865,30.150060777215536,6.843632219997195
6370.9757723445055,1.7557521220357684,263.8959801764125,0.23940040732502366,30.149840475143172,6.905379731596364
7332.879096503703,1.697297494657993,263.89602810968864,0.2365022126246429,30.150096351754826,6.8431978617306095
7332.9195711657485,1.8697344735443657,263.89604510092084,0.2352425280190523,30.150412236986014,6.875513310408045
6109.552529423314,1.6821315878492524,263.8967710951284,0.23524247484965974,30.15011611744685,6.843682401959846
