F12022,F22022,F32022,F42022,F52022,F62022,F72022,F82022,F92022,F102022,F112022,F122022
16609.516999400184,1062.9561545467245,600.801080083982,1069.4996752292952,906.4731231645978,440508742.91020256,2867.4364866977057,3314.2464648201144,3602.3828682622234,2951.502425614669,7074.269653981324,3774.911737358479
11448.47236901593,1479.3654805199274,600.7717000111289,985.8425345205125,904.7327196284087,622506436.036664,2391.6924540260134,2661.3505051835436,3624.081391274979,3631.33379888744,3880.825088834972,3714.01700092034
11984.147182886298,1431.1029574855963,600.6038329521931,1012.5150103561002,904.8605120331039,159773003.35300055,2545.009165858056,4031.956986305602,4734.478253278667,2436.039591639483,3517.6273476474116,3659.0212631290565
14309.218797767207,1413.8947716314979,600.90786759313,965.8940457072388,907.0382962308589,893734565.1441592,2370.4573782568427,5806.612442738946,3797.4918278155665,3373.069482287785,3766.2101324011446,3546.8336309938777
15896.44146477632,1034.3093580764785,600.7006981625207,1095.8137624967233,908.5000506556389,588082576.9183731,2839.4995679523945,5882.735028771262,3644.103980371376,3170.5854357373055,4304.494638752394,3141.7992553294625
11014.059497603579,1100.5435051506724,600.4176082946702,988.2150561305217,906.7951098206074,189282356.01238418,3357.4694193889127,4106.2835997870725,4339.443747160408,2475.6433963628383,4336.051139393883,3166.3672117871083
12718.361096517721,1605.9905557167563,600.8002984921009,1046.9140719147176,907.0108910205784,659601879.0861709,2498.435505180307,3916.8705913066206,3952.1056662966876,3239.301750701897,6119.305770478267,3373.2736712774386
19830.449625696274,1138.0894041401275,600.8716749878118,1032.9468886865066,902.8441152962404,496667145.5053495,2304.5498340043296,4123.786213761443,4091.613326203417,2798.262385162739,5027.662541606476,3372.0049114099893
12652.534321432053,1177.7887279522276,600.9311096766187,980.5692674701197,905.3304860006523,122759014.58234367,2045.2765406995345,4104.181896136812,3492.033938642799,4277.906515929687,3537.227733955847,3341.535659768185
15684.943454049624,1445.4312360947567,601.0750077465309,1025.666617324426,905.6989707791939,522763364.7461431,2701.920721373871,4357.217975445111,3206.125809529215,4282.422083767127,5709.371018502128,3260.800024508894
13518.064582687748,1347.589349281012,600.8929164427478,1022.6732126947162,904.5558382635478,1034928889.4533737,2351.3158580166437,3789.5074988457563,3720.140641086997,3554.7914738240283,3879.7678235810877,3227.0223510671485
13034.240259327467,999.503463566804,600.8802693609757,1008.7468332748338,909.1923341183672,79662176.4584351,2217.508345114268,3761.389202482881,3891.2788317314025,3922.598826635162,4151.951336543771,3416.3957235211683
14939.35743435996,1788.0810038998861,600.7617370624819,999.1533879670963,903.502733313587,209720299.13170367,2269.629008790568,3304.617729520475,4133.893928918496,3535.845906162704,4423.623584035397,3393.7071769051936
10507.575861334168,1788.96847008768,600.9981731214014,1011.0276255158356,905.2128478166015,568353761.2672321,2683.151710514853,2659.709095508568,4680.310346017085,2999.0122641283515,3336.939903174866,3247.9721855226894
15207.541622134913,1307.6437962755388,600.943513366632,1063.9214999306914,909.5923196850757,154873668.21886575,2442.266379668093,3740.530599046968,3865.452219136209,2125.5380240823447,4343.437504163129,3508.1600621863695
14105.441215477878,2132.308070872563,600.4766061114284,953.7565276677738,904.5273752645654,300641793.02835774,2357.895481168172,3015.8972282626355,3548.700496634533,3513.8834193230578,4371.080656840109,3242.6520759421546
15798.997651490059,1692.8669931815662,600.6917174686716,958.5345383237093,905.6027539618084,687759947.024246,2757.20982344419,5015.540305523749,3677.2983610665183,3791.9083496994363,6193.552741000857,3310.4890261582077
12073.833944266113,1085.4886349670346,600.5064875879016,988.1734046027362,905.0402035961008,338012398.299831,2413.8324958972416,4031.172213978414,3823.932626480548,3151.7779856647185,3858.9350614913865,3175.299274390998
9954.2695067377,1176.6855490626883,600.7650528266863,1029.645693215598,908.7407654272865,1022062436.269072,2104.479233883427,3979.1408547036244,3326.728403215055,4071.7498264438245,4622.710019235394,3213.3246851248036
10847.543622552212,1017.6425586195211,600.6088915091079,1076.2157629478565,905.6148811003002,138759251.3921236,2362.5573643627395,3093.541116482504,3940.1301330746273,3693.6612033088604,4254.25265175204,3249.4823121474924
13417.365377396174,1154.5844744761916,600.8383968553052,979.9270073862637,905.9805277898264,102563659.75266983,2712.089282092958,3175.4113489173865,3630.441641419765,4607.7837115351695,3532.9862754876085,3395.371121162465
16621.442687035986,1696.4675769492299,600.6857505900673,989.9552018364825,906.3904082493513,1162520494.4251175,2599.967491483886,4722.382231885791,3701.37492768122,2968.1658920930354,6320.529223526848,3607.2692591537266
12358.903150316894,862.5309059309031,600.5781586678539,1044.4559234115166,904.090751508096,400029829.1180107,2611.0796024286383,4109.750730643336,3917.37696668263,3416.6434419410634,6196.687850846794,3471.3676651478013
14781.414202890188,1560.205594504216,600.9513822354068,1093.2796672473871,903.5204799626363,419005691.4033001,2352.410801242211,3083.154322672111,4124.540582857138,3528.0822350216786,3497.6086197733734,3447.4322531391444
9941.163136361285,1362.7369397835996,600.6305900390284,1077.8748065280722,907.4991279540257,346578473.3161913,2757.853753369373,2819.735443047085,3940.7219204608555,4035.185350687002,4527.133158659714,3337.56285885499
