F12022,F22022,F32022,F42022,F52022,F62022,F72022,F82022,F92022,F102022,F112022,F122022
34893.6824539439,2806.9411687987003,601.5844826649266,1087.7441348641933,906.7619019468617,2167333966.4432187,7257.588557919059,2377520.286496127,5663.367536986854,4204.769994960429,6146.866943094597,3584.0376444998346
28465.84500542388,1844.335858240754,601.4796960108646,1086.217069336504,907.375487169483,2010572210.100395,5132.653353486772,228552167209.98706,4855.000921139626,4955.755125202218,6663.2157076611165,3600.4209066396784
38915.683350006635,2629.7718668770867,601.6550230163784,1056.5200432380987,908.8174881918344,4659257291.360184,3924.0688259906915,1140458730571.7966,9241.708075226741,4798.261702061588,10206.899586668724,3626.4945738891292
34474.33966798962,3504.4123880837074,601.1841808558404,1015.5165888978736,909.8808947576624,314341834.48542786,5613.558716512618,649042.8649433026,6522.256073399012,4508.1122665978355,8938.616345469181,3693.3846922130074
31514.67481391962,3033.519379001802,602.1692384404497,1046.6388339451855,905.2445327166645,2564243330.077185,4179.533481182104,1946624082227.4583,7697.210186784903,3195.086645715003,5335.402327177659,3747.427008455901
41250.4378544277,1698.0140125722353,601.5120033730917,1046.6247219181541,905.7714004077774,1175916053.844773,4297.079472654888,98815903.5473156,5604.125207659339,3071.8601741286234,10488.595096903944,3508.1028426911253
22146.390590202278,1688.920098201592,601.706720884079,1085.7738621229596,907.1752290070613,4208868703.316772,5922.612151253388,618223272.4661176,6283.13158165142,4726.341638707154,4323.003342546309,3870.331907677398
34067.49440196751,2442.9614081135446,601.5356903676201,1101.6348628094338,911.0283946615161,4416079928.521719,6385.488840314535,3201.3347028651606,5768.896692863238,4039.0535649646567,12141.513408526764,3848.5458347528897
30788.663176260477,1960.1888436573308,601.7402202524092,1006.9749773421345,914.5731859644459,320718088.6129862,4323.828311933708,171241816.11033928,8152.979876452625,4627.542442025107,8694.259484597154,3585.9800785273856
42699.54761691045,2417.013317328454,601.3717543375543,1078.9095451339938,907.2170971273528,4708829466.746839,2904.8967466060485,331606543.56904435,5150.53362666194,3469.2819289211448,8678.914194351877,3690.1026624993456
20915.248715111014,2316.869187030403,601.6416587080529,1074.5224906227513,908.9667987178327,1401521929.5879571,5094.242773491878,208095359.27038956,8794.78072620681,4872.297187966753,5516.544017015709,3742.9331128443882
27282.32087987121,4211.041468163254,601.9762126101264,1088.610697306568,911.9510131300674,4249882906.070641,7907.551107044441,1243151515737.164,6287.678697583228,4004.5989408633186,7180.425340404981,3786.108680682447
45600.503503001484,2042.984677004952,601.0991723891149,1077.2598620807835,906.6271993849558,907222020.9731035,5590.238421519245,77767301910.2423,4677.254616060857,3930.4083968632804,10323.8038696258,3882.520467188281
19484.781396963786,2330.5223264658803,601.1447780390677,1097.4004713955808,910.9615058123634,2095128081.5108519,5379.79643748516,8401871.762092568,4722.213395442124,4864.384927944253,10643.128057823793,3761.023444416601
28671.45158852581,2383.791218018252,600.9910508550273,1079.1323506122885,908.0166855895981,6066969723.740439,6010.620926207945,562560552907.5594,5114.722844412834,3246.570615754052,4173.714403890619,3500.0837439168104
24800.487447954038,1945.6429751383616,601.7542364609538,1120.4101895418055,907.0059806829673,4635618518.841081,4802.926473931448,38042601563.154434,7791.134456548327,4430.611097626706,6445.8890260568805,3547.739259725862
22904.09380827357,1724.626307535057,601.2432931289233,1128.6602019138536,908.472309569564,6247794946.22938,4588.681288370158,53118828.406855285,7161.926233320658,6006.223514335745,7689.752339837384,3241.4405481792382
17965.36951765251,1972.179348468106,601.5884839348292,1091.760065097952,907.4803323730342,704086138.516444,3791.293322301229,45977.87247463245,6495.671456954028,4651.64445053658,11258.24310320066,3662.055090857311
22968.697549467168,1737.7103976962028,601.6930326197743,1041.2015265284178,907.491099793939,2317798566.9722724,4938.859137598227,5670.528829490368,6145.369278636972,4546.632236999247,9173.269758579676,3624.3332636489376
39307.09860006061,3200.911508586525,601.8611122601317,1087.2758085283092,913.5601623459302,2093519989.2279022,5362.378704892346,38626045946.06038,5569.718666657358,4342.052183555903,8559.58493172898,3336.110615221959
17773.407708314324,2602.284066126059,601.2007640890295,1093.1072079968412,907.5054538239694,1126805065.3549423,6292.134779171913,122249807718.13797,5008.666852744333,3508.8907530267106,4187.025355361604,3514.8886041135615
48808.683638076014,1881.657527767662,601.3840221099108,1055.1247740116955,905.5165139489525,2840582309.2531266,5001.545581155178,1558459.8211966322,7479.173136863527,3198.343456577296,9360.252701482135,4055.4983035671708
25470.497913119194,1107.7498931633559,602.131964158326,1041.8986928231805,905.3627919872895,2829483021.0042634,4531.61143636925,202783590.58290508,3578.849925774534,4314.991098307801,5840.4503813110805,3532.685625639122
30468.344117949116,2659.1425056034764,601.2978808278897,1068.3162199730539,908.3956745470138,3731941441.2599864,3719.4148254462416,12725.608094166839,7076.9753683004965,3226.089603546716,3501.5379841235663,3904.3421787118104
26557.171299323105,2122.863175034163,601.1790870780545,1064.69872819332,907.1650460422597,2212169675.7198453,4359.812869095188,31887153.47045392,6529.4025307833135,4635.733056367417,6957.54252989974,3165.0093441764334
