F12022,F22022,F32022,F42022,F52022,F62022,F72022,F82022,F92022,F102022,F112022,F122022
305.71557787460995,444.98154592337323,600.0000083262582,1034.1431355708037,900.0957755386962,62776.304547699736,2076.9035716791013,2180.941643691074,2635.7879317387738,2787.8383334851187,2600.185098994588,2934.538470416607
304.28392992456776,449.33223203017565,600.0000124918759,868.3341057167697,900.0127053199437,30033.034469049373,1961.8041057798744,2104.705540022488,2635.729983722152,1843.0258007989073,2600.6186268533206,2927.650584397459
303.0806082247844,449.4981403637772,600.0000042601214,1013.9140082949565,900.0937917070745,30646.532614289266,2086.0779764403223,2274.8534597491557,2635.998904823517,2783.7292543546805,2600.2010582676844,2936.3322702544187
316.1885704946161,449.12809419975343,600.00001524775,923.8235114291741,900.0080312108582,15357.584944875969,1970.954469918789,2503.9298030875116,2635.8683381921924,2773.25247275366,2600.191455053354,2929.242027743681
303.4488551098337,449.22542509055364,600.0000005435651,972.3149414437441,900.0902144032259,24517.98372615487,1875.9855050626024,1910.9953076631098,2636.5255166189963,2613.686441358966,2600.2908169376537,2933.5892359081636
304.5045948776134,449.18735239975416,600.0000078434348,946.6284511894644,900.0030181125612,39828.1524326046,2054.1222918772637,2164.2903205374605,2635.8750347715472,2480.48380805753,2600.2697520491306,2928.266938692292
305.5940778842929,449.26990271933226,600.000000744436,983.7056994435583,900.0912911548457,38406.39152634425,1909.0233195034089,2285.061803231774,2635.8984250274384,2794.127570473818,2600.0829234004505,2934.1191678886653
304.1487241920377,449.86213364754303,600.0000022396289,987.7286743474908,900.0903318958259,43862.7779497426,2083.4297086691417,2259.588142248264,2635.730545710884,2786.7655407578827,2600.1761262630293,2957.1053593965757
304.2506405615894,449.4261413675302,600.0000038378532,947.6372584931028,900.0028302940616,47386.805966711,1906.2432746602237,2239.2746361808186,2635.7221581571857,2748.530822885451,2600.172094265215,2938.428079848011
302.1345883931765,445.82465038032933,600.0000009922736,986.112694512036,900.0034609379426,32148.542176688286,2055.51068936981,2068.5919819519554,2637.083886048895,2786.3067707850687,2600.067334412965,2937.4053454658474
338.6745805031771,449.32141568383395,600.0000170768308,950.998321769728,900.0015187220764,43408.07346328259,1903.630403716799,2229.563676942376,2635.9642113629734,2790.7872903930797,2600.147315554823,2956.189228377802
306.8260288320496,449.1889931629069,600.0000004698506,940.767261358775,900.0107741946304,38251.12426456795,1879.990360866053,2234.9676944586377,2636.0637158311233,1533.8156181507002,2600.2521512373783,2923.847113651137
319.06710783552444,449.16608806143586,600.000002642135,990.6349195353141,900.4518177418921,45424.61227805359,2098.2979374478227,2312.695076261998,2635.7760279603995,3031.069909515496,2600.118949359943,2938.3003426616315
310.0601075337111,474.2636326299885,600.0000042199948,1083.1954408862807,900.1154574538353,33499.75297823618,2055.178248193432,2240.3307358532484,2636.4394823520065,1378.8764420392258,2600.104659968221,2930.60601046486
306.52560647486337,449.2605213213467,600.0000022487659,971.9255924151416,900.002588311308,66504.00776075234,2039.4897944592185,2246.5987654851497,2638.408015144138,2761.9131098351218,2600.1708759029666,2924.875782406026
304.2067349811682,449.18282412364266,600.0000014452512,1008.9873626730935,900.008918529899,44420.33918948934,2051.3398344849866,2464.2757076748094,2635.7925880010066,2773.0891602504657,2600.1680939662574,2932.0918509914522
304.33495892209714,445.4075095710618,600.0000039969824,972.1480088020874,900.092019455628,25345.263278464936,2064.899690108092,2248.276800640569,2636.05588045478,3710.8067946748097,2600.445455320182,2934.752211786693
306.38991337353445,449.84676947358145,600.0000013385684,912.3335947723871,900.0044006775881,47391.13645912823,2075.7792064198316,2089.122441599254,2635.7145205395263,2896.451107522207,2600.2511955012833,2958.1663592084515
300.3902663882566,444.9798341525333,600.0000063421569,978.8347087999595,900.0029461952355,47339.74187356616,1931.8499210266652,2231.7485511558143,2635.7809404068144,4164.4174915457415,2600.2952994689394,2933.030318735368
309.19562861826546,450.1013785648734,600.0000014148196,926.9086158765718,900.1793052246,49276.02315716961,2069.2898170857793,2231.784974975378,2636.834458557475,2007.924415544059,2600.2387509487185,2933.334042561544
304.96899813580427,449.4285255500264,600.0000064167941,953.5615817513485,900.2690839115164,29872.557565088995,1916.2722745363487,2412.879850524538,2637.8266629536183,2775.2402488577777,2600.147388337926,2952.6909674527838
310.29842302500725,449.60201304957826,600.0000115009025,960.3274709871239,900.0017878489849,58883.22969643802,2103.0842888771144,2235.4419300968,2635.7176263326937,2370.3309084574526,2600.163769004058,2935.596146290415
302.0743096654587,449.15344767604756,600.0000291883937,921.3970002520263,900.2740963891852,66427.69708194901,1932.6774450012645,2255.195598867876,2636.0089899534573,1344.2660973641343,2600.259246658889,2926.57356676138
311.08918588509744,449.4649622555157,600.0000044328735,995.5512166234433,900.1816978378396,56669.393427915726,2058.833418321911,2270.4319612982463,2636.0229130864905,2064.5713703399642,2613.199343594566,2949.5507795017984
310.43368368545765,449.19847370003106,600.000016333681,999.3016296119528,900.0991741855821,57364.98130611087,2051.5277770056573,2087.1051579845202,2635.7525055838437,2556.675939276033,2600.0856201205443,2931.2580168985187
