F12022,F22022,F32022,F42022,F52022,F62022,F72022,F82022,F92022,F102022,F112022,F122022
18391.284104194245,1565.6481901480975,601.0479447048783,1014.0628932996358,905.7939255248759,4631025185.46717,7998.493402252701,5654.147186704495,4990.472182255839,3711.889628124418,4993.967541287678,4595.87337837863
33816.34357735437,1601.938796845675,601.616696922583,1034.952784404624,907.7160685973663,1758899701.252967,6440.849026939572,5029.4795252539425,9719.15537545407,4056.045408600605,9240.596528582024,4025.90623283938
18875.469693468578,1980.7726699374616,601.324406873671,1056.9404139612404,906.7287983221537,2662142485.4334755,4354.966515584022,63822237167.40441,6683.603139810546,4162.305089618329,9092.855017694443,4287.462157596705
28829.691609228972,1468.290422436079,601.332739816255,1045.7039804694055,907.8701723695561,2629438549.686794,6689.485175879883,125324935052.23067,5160.57281795883,3760.446935995368,8906.745167942374,3897.0479998659193
23861.738504860372,1800.084021854234,601.1955487918224,959.9133103891164,908.2209880966584,4480856355.151246,4502.222805416953,127672962821.83884,8515.08338800243,3941.364001425539,6935.0054283459785,4010.821679444238
21901.32095279008,1177.4735648420206,601.4384374698916,1075.6670499201,906.7132199985042,1407031543.7277873,5328.268731551519,473706387.5480218,7133.579854913069,4351.58510243124,6697.016166293683,4048.3788566557123
24371.26162371121,1893.76299616292,601.4859159815151,1040.506798371341,904.5274649269923,2607315928.551559,3959.5876109624232,21951226.291779753,5970.419997612671,3452.360466707729,5344.734684340321,4205.639062011108
24865.022857188465,2653.1039314614454,601.2029761537394,1106.5573255612023,905.292123472108,3189308954.028298,7166.595203480133,268573947.1674233,8347.860411927139,3522.3117322597536,9272.201336092789,3483.1288798168025
22436.087104948612,2131.617426218547,601.5238077920991,1044.8402847150553,905.9810218689001,1818081925.2399406,6945.633839912509,806277885.3316625,7729.9523128586825,4668.6793773344525,9150.04821420565,3543.6313100950265
21147.80641948433,1998.3682164854804,601.4145901030021,1104.2312065702274,906.7504390694623,1918972485.2228932,5906.798945684995,5000808.217821422,6352.288736489289,4060.5291190344533,10680.090221778031,4235.0009513822515
29632.482142582383,1584.3427098326752,601.1248954915451,1017.7909843117006,906.1070178268428,2173002782.3361993,6212.246939183901,132982941.98973086,5955.105374033743,4304.728508963059,6038.74280881923,4261.980318257535
18285.421208399075,3417.1504033815845,601.4937849894887,1034.3906695978412,906.0294482849534,3432355742.659228,3505.583321377791,6357514458.901987,9375.09678752126,4460.620234483841,9887.52272450908,4356.46569690989
18071.987508767543,2499.559631273455,601.2647184891249,1048.460275872791,906.5545211447364,4295507821.274782,5779.252549214212,84392311895.41754,6890.309370989333,4595.099163400282,15601.431671901002,4213.569008262832
32561.434067372124,1285.880133040717,601.2257834840424,1141.7719780790048,907.7238258979611,1903497455.9698288,4109.981700440736,43979330864.68357,7441.148087818277,4538.3133870594165,9959.409774727206,4056.0953968108033
29273.593564092982,1152.6134837686254,601.2441119799545,1029.082949174576,904.6573489490307,5326751219.500643,3702.065501828545,179886504322.77884,8424.62454548676,4402.529754337935,9881.643216086502,4303.2256134876825
23668.2798563441,1851.496234339468,601.124539891427,1050.4070377216299,906.5673921408857,4242669944.073721,6956.557605161153,4352958.895145211,10081.359481715344,4454.48945631344,9051.782221471429,3979.4140475797467
19028.22602319713,1483.3581517233927,601.282351972589,1048.4356783933931,907.0839282383735,711910512.2513429,5552.681828416187,9363431325.084116,6826.471280883675,5050.237714144605,6832.894006804423,3837.1221820251667
28794.141439137304,2209.063803035294,601.3541851903285,1065.2739616870767,906.6989663219593,1722073424.700423,6225.862473859883,72895360.18230286,5209.607170166299,4443.065960225924,5803.352270593718,4040.4855786834023
10224.620756245813,1870.1631635245435,601.5989788701161,1036.5745255756287,907.5989756859975,4810739432.687529,3738.3573578050828,2773888357.0255256,6908.327742273828,4630.494306696907,4901.39528874154,3818.473271454945
25667.390293146407,1684.6898355113462,600.9154072424564,1081.4982756048348,905.7805575554233,3586289068.30304,7627.571126577606,19192133.669171687,7965.985720652254,3945.5537819372557,6759.80321401372,4036.7890716009842
27157.85898304383,1637.4410507485006,601.0363902605244,1071.7270900516412,906.0325169005831,2749379231.726599,3316.287719134564,95337422496.24255,6433.999917882329,4531.561630653072,5523.980170067294,4105.376215234196
18102.839491255134,1849.4400928376856,601.179488631018,1079.4175553178952,905.1195497548066,2321280986.2106752,6495.782314344655,2898979113.104797,9553.184107277353,3581.4363836470807,6013.58590722285,4350.519493344162
18920.18135148667,2386.418437026785,601.2064013819927,1050.681395817562,907.426178324344,4482282375.180453,5129.740841784937,65918724.08336406,7186.601994690921,4178.827282189207,5675.644362417849,4188.343307767524
24174.580782766523,1364.422054185974,601.0749147639831,1047.8312012038507,906.3472873496863,2924279481.8389535,6005.712447905939,15231265081.694538,6624.958056358744,3848.7277635085857,5803.9877610218855,4043.650721971315
26039.75776373576,1358.4711422447403,601.0728159081972,1113.2782676634642,907.3151690905705,3585076001.1669397,4054.3497103912587,465391094865.5562,7767.69761227354,4468.022551352472,7398.396241589456,4183.6378766705
