Problem,Algorithm,Best Fitness,Mean,Std,Rank,Best Max Constraint Violation,Mean Constraint Violation,Feasible Run Ratio (%),Best Solution Feasible
Corrugated-Bulkhead,L_SHADE,6.842958010080772,6.842958010080772,0.0,1,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,LSHADEcnEpSin,6.842958010080772,6.842958010080773,7.021666937153402e-16,1,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,IMODE,6.842958010268959,6.842958010704836,5.019523605469697e-10,3,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,BPBO,6.842959998968915,6.847745518659188,0.008837295877867158,4,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,DE,6.842981622886138,7.654418474845382,0.8580680709990711,5,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,NHO,6.843070960547022,6.851764224219933,0.013961675320946727,6,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,SRA,6.8431978617306095,6.868361940754311,0.03915699259638316,7,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,SSO,6.843702380225045,6.882685002136612,0.04504954994762542,8,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,GWO,6.844365593122538,6.847148989148099,0.002518257079286535,9,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,HHO,6.8471192777338405,6.9694780978878335,0.1589256757158486,10,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,ACSA,6.873940648474012,6.93316984114361,0.04250267139320837,11,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,GA,6.921213305467966,8.459907635201908,1.3008110753648137,12,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,CHO,6.990159594002566,7.343247916145051,0.27222376974959867,13,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,HGSO,7.227498685414551,7.8263878965185585,0.3138625939280114,14,0.0,0.0,100.0,Yes
Corrugated-Bulkhead,ACO,8.161599875910856,8.784743177335724,0.4485345244168855,15,0.0,0.0,100.0,Yes
