F32022,F52022,F92022,F122022
600.0000069132263,901.5633202239302,2685.825124136927,3031.644492648021
600.0000084159051,901.6325743101719,2690.5139988807423,3054.658143112575
600.0000105046879,903.4791229185136,2692.417929305427,2989.27256622793
600.0000092667165,901.9079390788204,2705.595558078974,3053.2377430688875
600.0000125782828,901.8185758954367,2672.274789690042,3009.5929146853528
