F12022,F22022,F32022,F42022,F52022,F62022,F72022,F82022,F92022,F102022,F112022,F122022
8713.096272221132,483.5619688000953,600.0290907660439,844.0,900.7778013165253,7475931.087132255,2071.967085966701,2550.153313525933,2835.640654367819,2651.635572863547,2641.643345260971,2900.484555118159
11753.486097723466,535.6219867592612,600.0651057138812,858.0,901.1726214210731,38967.749586954,2218.1887889792297,3089.7663102694396,2898.4447917571356,2675.399162665237,2762.4778285543525,2893.6536588012455
6350.371575798473,479.2091769251059,600.1544964924681,864.0,901.182486036804,57482391.689338975,2060.541494871412,4706.869923141676,2798.1460591764403,609.4490236535314,2685.3698246243916,2871.988848324386
10924.73886351097,496.6317368574377,600.0495836793706,868.0,900.96185475575,144825.5468258983,2191.3112844161997,1169742958.6690974,2785.361834325904,2624.2244259436156,2697.83251974301,2895.380257733208
7380.559006864648,463.7159016291008,600.0227923840896,832.0,902.0895735187651,120944421.08381212,2191.9168362325963,2564.8148133908962,2771.524683805765,2666.35346147803,2681.640302061909,2889.3568940592127
2741.5803559370247,778.8808415861362,600.0279348482466,851.8813160810282,900.7715745273961,82132013.82277818,2024.8424500768588,2361.8705107243472,2703.741093323316,2667.070382116925,2765.12639777157,2878.9165065562715
11476.87623795844,644.2258209961464,600.0824468891262,838.0,900.6021199220378,440240.64921908814,2045.0303366969963,3658.83995166798,2927.874866107477,1612.0515248248857,2625.4274175001365,2902.968427634402
9698.756735004446,491.45039946017334,600.0595042142053,850.0,902.0551487601083,93548.27591328487,2042.6467867083193,2504.955566132381,2725.563687013544,1536.942641315532,2640.235531433118,2943.0668015232136
3462.489445270072,452.59118992157545,600.0326573819914,832.7296153428238,901.1962207181855,26609.97535873889,2025.1241221360378,2468.488178519145,2860.8094298226997,2739.711583737432,2705.5790585503773,2869.719693911551
7991.131858667296,479.0682146482126,600.0784342802854,844.0,900.7735179153668,783013.8342183029,2084.7048095431437,2344.1273920878702,2731.5765814647852,2640.6417225734567,2644.9466271932324,3000.8386643825047
7930.2944188266265,488.85581625226393,600.1317249727739,866.0,900.7206991244819,226206.87074728173,2129.069201131625,2355.9299063331123,2739.603516880011,2644.384976763118,3228.0782619944466,2894.6941967949692
2553.331962358737,512.5886820239274,600.0446187980015,862.0,901.1260543967046,160611.51835589795,2027.1440175924472,2442.386837262115,2997.968543744033,2625.42131088733,2618.1976086302616,2894.1057981811136
3707.970230546359,642.308477531564,600.0220806549522,838.0,900.7840200317685,218517.2798226827,2035.8029053704827,2278.07010232122,2951.975731795863,2662.824209756792,2896.924605769119,2869.8613651703267
3497.223007578993,517.551928240634,600.1327283285482,824.9182628028077,901.3454803925156,71400394.24327159,2048.0005895325144,2659.897605589141,2398.639315829342,1409.942868973172,2692.1909562940114,2930.767795749668
2588.291121562817,643.5879003519062,600.0595859433289,830.0,900.5517629296425,199357.91288053722,2028.0166548025093,2325.9951309506787,2540.816570051354,996.6958668408004,2675.916285178,2940.9712315207457
3184.647396909944,619.9668955020361,600.0231615608017,816.0,900.4198228842422,23046502.968809966,2021.6298216960731,2937.527068267255,2810.4170336264738,2775.081153889755,3769.8789027376943,2873.4385868595173
9071.107957545519,545.8182013078022,600.0830936018829,838.0,901.0231560993311,2797682.270064507,2223.2530136594796,2224.3928784877785,2358.5475026046843,2674.876199533551,2652.37532066991,2885.2003214392143
1764.3520869144684,738.3004256100872,600.0691868897524,846.0,900.2304307226215,4349447.006382252,2111.438307132214,3205.040576836822,2862.837032234486,2807.826578190569,3367.191491787831,2940.5754903564302
17245.496898532056,456.42772699535135,600.0653009006031,828.6930841812604,900.9060753599941,27496.167452263355,2252.0787042150496,18081999.251789737,2831.397369408358,2654.200644547496,2629.055566551546,2908.343338289232
7786.7359040392375,531.9710405048113,600.1000861389517,828.0,901.1837551321478,39020.78095191288,2080.775623420784,59975.986365139885,2819.0462301045277,2609.1018838362716,2637.3416419671444,2865.7716344936266
1668.101891274984,448.22907243322464,600.1275785926471,836.0,901.4362350803591,150279197.9699919,2484.084257263006,2247.525659700112,2644.818474419825,2522.4399093923444,3040.3618343218695,2850.3632828225773
3173.858073440297,686.6237220572058,600.0539632409545,882.0,900.6187775621052,37463.15685012874,2295.4596096790456,2283.4394974921865,2728.2631072518952,2653.1182940381877,2739.2699081537025,2904.0141639102967
7743.463524394673,898.4009823607566,600.0363436111203,828.0,901.5484151147582,344782.72662121686,2032.2604029792335,5223.845850958451,2700.587593008111,2718.2564099107412,2702.14614455523,2889.2856867075916
3733.1895167750527,474.5115313130668,600.1197517298397,850.0,901.0186352064015,217306.26254360424,2029.1249778022996,4100.030396965649,2794.1237852162185,1478.9352677795964,2637.8037344261465,2874.5617936919357
2187.9825961325505,737.9012253671601,600.1010239937291,852.0,900.9586724023625,76335283.21456486,2047.6072551770214,3109.5859564308585,2786.669210422342,2806.2199921787105,2764.9956970941466,2956.6529967291212
