F12022,F22022,F32022,F42022,F52022,F62022,F72022,F82022,F92022,F102022,F112022,F122022
12652.473841754938,1096.598548274675,600.3575624053045,935.2233295752608,902.9159337057362,32214627.88827744,2528.489683423746,3118726.7360179415,3113.7935451827043,2997.485968535996,3011.5648894683704,3012.936357849529
10556.596781557135,1000.0764111928288,600.5264090254328,943.9338744556319,904.8794518602697,72436981.21127857,2198.903237701774,368076.78955973213,3070.7603710753756,2708.5362722167524,2861.63274128044,3156.025007612563
11527.017559105261,1652.5735771946256,600.2037317194211,945.0,903.3101834417648,17973807.858066592,2569.1245432884825,33317.889589143924,2996.1671872245443,2369.9043722718834,3040.627858337251,3011.833499254098
12665.830453109422,781.2525261212278,600.3767410527482,937.8853866238278,903.1430940867178,32310894.066421904,2842.8315064025874,3827501.319022099,3041.8302643623365,2751.991704025084,2725.9597985578966,3021.1930330494065
13562.176638501642,829.0297720544083,600.2191309291362,954.9755034698771,904.5440681119821,121566876.30994126,3006.5053615711254,5036.437571471633,3088.6236782737706,2752.346072013641,3131.326771521764,3147.678865266491
12147.367776994384,923.5458198648852,600.3768259763847,956.5,905.2952461037479,64396117.71419506,2403.668058577333,3438.1420635168543,3133.7178413585025,2845.6840381982747,3090.5940472449192,3009.2685162087255
11625.103609741771,1213.8261273795338,600.5022091019819,957.3128461359844,902.9650901026664,41484193.410586074,2594.477952727848,70202867.5255999,3025.2628926198668,2767.690094723875,3074.2903441170497,2992.1582355647497
12303.926898877815,1221.5106603439413,600.4349292635126,928.7775844398471,902.6606183633828,105732693.57684396,2530.611089934833,670296018.9676505,2957.218466248698,2712.1611017888567,3353.1069972047567,2948.984598091781
11628.651474148097,1095.6176022877821,600.4392679236053,932.5,902.7766991181584,36841096.22725766,2502.2756065621197,20511655.458751682,2671.1138964578136,2149.84907237779,2866.895038088922,3079.572263709203
8190.002693236062,1010.6129747973097,600.482076266191,964.9974580493828,902.8655778201999,97652336.06933169,2398.8789509162466,1298937.383905963,3368.4008518913824,2718.892328339031,3092.6392294475136,3045.4991538608265
10210.451122243605,1177.2747482991754,600.4285310988266,889.2630974574749,904.8256154438374,168763453.3816306,2458.0610441026283,6153.986940974066,3121.1858641244394,2783.2877449217494,3303.0074787658423,2988.7547641534566
15524.2982972778,1026.9404723759221,600.3503035742956,959.9344459087695,902.7078668920011,17902141.60693745,2732.724557663681,60849.10706542873,2964.6641777242658,2731.153010571932,3059.0429960762744,3064.6630699234315
12928.83446559484,1311.6042095344178,600.5249857231167,951.3362828296968,904.0661742095322,258637063.7110881,2731.524328024768,27185.43935433968,3096.8031872834426,2726.128803507891,3181.6783231651257,3019.9372794885267
7869.166027849816,823.1524354704769,600.1671968880398,919.1995420186572,905.8629502974427,217248860.12818593,2566.4442245547525,264307.18477927113,3001.8197577462515,2594.296313369392,2800.155736657764,3014.3494971374903
12829.456574612956,1377.8443390854957,600.3766441493086,973.9788193219761,904.4798135042141,31628975.455105223,2375.0145691287053,80828.76608681148,3162.4367399376897,2674.192998657703,3165.6608695991904,3094.471977010553
11263.537060365996,1070.0454688865507,600.4417699513917,950.8237965530953,903.0185952189073,134327243.5118184,2399.738404165886,278406710.8139051,2919.397531932191,2715.495689111928,3064.420793559504,2953.054878858708
10076.952592159467,1220.6002423776827,600.4499737737342,925.6800051881496,903.3545474198428,187650224.27705508,2760.0467503100735,41683152.74186224,3464.6815727419157,2465.0141092321114,3194.7098565054316,2964.3382082758935
4898.561279899338,1636.285036697829,600.3602267236079,904.9302769368211,903.8721039023012,191289127.84299162,2817.947672925944,434621608.3707651,2922.8962941879777,2441.562935295397,3038.2562111680095,3005.8445646548544
9733.942012408299,1586.0819417414739,600.5002665030487,918.7069448376541,904.4004597721547,62314957.098854706,2628.1159431227006,165031.74207292285,2945.5415998196045,2768.4590023651294,3191.0270450448907,3082.8252296044047
13770.112660189705,1471.5834012763464,600.3320871380452,932.4672680389637,904.2001667788957,111116453.29202265,2480.415744216687,14524.92721104164,3329.641419266316,2803.096345149829,2786.7037542876446,3084.709064855704
9388.336767129867,1333.8213795528332,600.3868240718524,944.9976736038543,904.4323521269373,294714714.4273245,2350.677874194969,82954470.90206419,3116.633855833,2758.1600916288016,2724.316610364367,2988.105863329375
12247.457057487589,763.4686906206312,600.502177418623,914.421651938328,902.8406730903055,204287781.80395916,2848.1404221590374,2602298581.503061,3192.7238443834167,2777.6849148638507,2772.0875553037927,3023.3982759558785
10016.368597084034,1336.414810164952,600.3043649546325,932.0757163410888,905.2180033963768,55157296.70738709,2495.541777226228,51416.76982241182,3261.0457880032222,2725.9906704040163,3571.3229161234003,3029.512388274907
10422.109067116058,1059.1450215527711,600.6000414034257,927.5819211589205,905.5545343129751,268836660.95534664,2473.115761716337,225230927.15920633,3129.8218070344055,1741.9756323172319,3028.0373597819216,3213.066631332476
3983.2718137558054,1692.661039926541,600.4877376255545,974.10093017352,903.3196427517261,124722324.2149484,2425.8776208055197,103904.26921686882,3232.7438956651413,2715.114060127785,2796.094265437449,3055.4813212224594
