algorithm,total_runtime_seconds,mean_runtime_seconds,total_runtime_minutes,completed_runs,failed_runs
SSO,292.957451999001,58.59149039980021,4.882624199983351,5,0
BPBO,293.15076433500144,58.63015286700029,4.885846072250024,5,0
ACSA,315.49673878900103,63.0993477578002,5.258278979816684,5,0
GWO,352.0404405830004,70.40808811660008,5.867340676383341,5,0
HGSO,359.181550442001,71.83631008840021,5.98635917403335,5,0
DE,364.2433985530006,72.84867971060012,6.070723309216676,5,0
IMODE,442.00369509600114,88.40073901920023,7.366728251600018,5,0
SRA,465.5025636540013,93.10051273080026,7.758376060900021,5,0
GA,472.4803082439994,94.49606164879988,7.874671804066656,5,0
HHO,549.9064897809985,109.98129795619971,9.165108163016642,5,0
L_SHADE,603.3342364980008,120.66684729960016,10.055570608300012,5,0
CHO,636.1053001960008,127.22106003920017,10.601755003266682,5,0
LSHADEcnEpSin,698.3521746140013,139.67043492280027,11.639202910233356,5,0
NHO,1010.0377917439992,202.00755834879982,16.83396319573332,5,0
ACO,2335.2492807419985,467.0498561483997,38.92082134569998,5,0
CMA_ES,3374.4602423669994,674.8920484733999,56.24100403944999,5,0
