algorithm,CEC20-100D,CEC20-50D,CEC22-10D,CEC22-20D,classic
ACO,1673.0962826239993,448.76284355499956,71.97562076399936,129.87635963600042,11.538174162999894
ACSA,169.0386224800004,57.02728569999999,32.54162960099984,51.733932869000455,5.155268139000327
BPBO,159.26685994900072,51.34867374600071,30.37909775800017,48.02204990700011,4.134082974999728
CHO,331.2920523069988,130.52378164000038,62.195755894000285,95.37826983700052,16.715440518000833
CMA_ES,2557.2274468230007,564.5554769089995,86.82423312799983,144.3729311119996,21.480154394999772
DE,200.8952267859986,66.49283374400147,35.156865896000454,56.01211928900011,5.686352837999948
GA,259.31005781299973,91.86367231099939,42.961798322000504,67.51297255000009,10.831807247999677
GWO,193.66766267099956,65.2989811210009,34.60363680899991,53.08018304500001,5.389976937000029
HGSO,193.48256122699968,63.662054014001114,37.70756177800013,57.68965363699954,6.639719786000569
HHO,299.039498999,99.26449735499955,55.159187982999356,90.25117604299976,6.192129400999875
IMODE,249.57878938900103,79.58209923899994,41.02556799800004,62.064424308000525,9.752814161999595
LSHADEcnEpSin,443.88821177200225,123.59655226699942,48.31528252899989,66.14458568999999,16.407542355999794
L_SHADE,331.6251828980003,118.2738719200006,56.543857777000085,81.40737308799999,15.483950814999844
NHO,549.6715476509999,183.25413137799933,101.76919148100023,159.16174627999953,16.1811749540002
SRA,258.4546279090009,88.4101385970007,43.512384881999424,64.69685694399959,10.428555322000648
SSO,158.70255575600095,51.69952955200097,29.432074545999967,48.93710962499972,4.18618251999942
