algorithm,suite,dimension,folder,epoch,pop_size,trial,n_workers,n_problems,runtime_seconds,runtime_minutes,status,error
ACSA,CEC20,50,CEC20-50D,400,60,1,4,10,57.02728569999999,0.9504547616666665,OK,
BPBO,CEC20,50,CEC20-50D,400,60,1,4,10,51.34867374600071,0.8558112291000118,OK,
CHO,CEC20,50,CEC20-50D,400,60,1,4,10,130.52378164000038,2.175396360666673,OK,
SRA,CEC20,50,CEC20-50D,400,60,1,4,10,88.4101385970007,1.4735023099500115,OK,
L_SHADE,CEC20,50,CEC20-50D,400,60,1,4,10,118.2738719200006,1.9712311986666766,OK,
CMA_ES,CEC20,50,CEC20-50D,400,60,1,4,10,564.5554769089995,9.409257948483324,OK,
IMODE,CEC20,50,CEC20-50D,400,60,1,4,10,79.58209923899994,1.326368320649999,OK,
LSHADEcnEpSin,CEC20,50,CEC20-50D,400,60,1,4,10,123.59655226699942,2.0599425377833236,OK,
NHO,CEC20,100,CEC20-100D,500,80,1,4,10,549.6715476509999,9.161192460849998,OK,
ACO,CEC20,100,CEC20-100D,500,80,1,4,10,1673.0962826239993,27.88493804373332,OK,
DE,CEC20,100,CEC20-100D,500,80,1,4,10,200.8952267859986,3.3482537797666434,OK,
GA,CEC20,100,CEC20-100D,500,80,1,4,10,259.31005781299973,4.3218342968833285,OK,
GWO,CEC20,100,CEC20-100D,500,80,1,4,10,193.66766267099956,3.227794377849993,OK,
HGSO,CEC20,100,CEC20-100D,500,80,1,4,10,193.48256122699968,3.224709353783328,OK,
HHO,CEC20,100,CEC20-100D,500,80,1,4,10,299.039498999,4.983991649983333,OK,
SSO,CEC20,100,CEC20-100D,500,80,1,4,10,158.70255575600095,2.645042595933349,OK,
ACSA,CEC20,100,CEC20-100D,500,80,1,4,10,169.0386224800004,2.8173103746666737,OK,
BPBO,CEC20,100,CEC20-100D,500,80,1,4,10,159.26685994900072,2.6544476658166785,OK,
CHO,CEC20,100,CEC20-100D,500,80,1,4,10,331.2920523069988,5.521534205116647,OK,
SRA,CEC20,100,CEC20-100D,500,80,1,4,10,258.4546279090009,4.307577131816682,OK,
L_SHADE,CEC20,100,CEC20-100D,500,80,1,4,10,331.6251828980003,5.527086381633338,OK,
CMA_ES,CEC20,100,CEC20-100D,500,80,1,4,10,2557.2274468230007,42.620457447050015,OK,
IMODE,CEC20,100,CEC20-100D,500,80,1,4,10,249.57878938900103,4.159646489816684,OK,
LSHADEcnEpSin,CEC20,100,CEC20-100D,500,80,1,4,10,443.88821177200225,7.398136862866704,OK,
